project_area,project_type,panel_name
0,1,1
0,1,2
1,0,3
1,0,4
1,0,5
1,0,6
2,0,7
2,0,8
3,1,9
3,1,10
4,1,11
4,1,12
0,1,13
0,1,14
3,0,15
3,0,16
1,0,2
1,0,17
4,0,18
4,0,19
5,0,3
5,0,4
5,0,20
5,0,21
5,0,22
5,0,23
5,0,24
5,0,25
6,0,26
6,0,27
3,0,20
3,0,8
7,0,21
7,0,28
7,0,29
7,0,29
1,0,30
1,0,19
8,0,31
8,0,32
1,0,30
1,0,33
9,0,13
9,0,34
8,0,35
8,0,36
0,1,1
0,1,37
1,0,38
1,0,39
3,0,40
3,0,22
1,0,5
1,0,30
8,0,41
8,0,39
3,0,42
3,0,43
1,1,44
1,1,45
4,0,46
4,0,17
0,1,15
0,1,47
8,0,35
8,0,48
0,0,49
0,0,50
1,0,51
1,0,52
0,1,53
0,1,54
4,0,55
4,0,56
4,1,57
4,1,58
6,0,59
6,0,39
8,0,52
8,0,50
0,0,26
0,0,27
1,0,30
1,0,60
3,1,7
3,1,4
10,0,61
10,0,62
1,0,34
1,0,54
7,0,21
7,0,28
7,0,29
7,0,29
1,0,63
1,0,32
11,0,33
11,0,64
1,0,65
1,0,39
1,0,35
1,0,48
1,0,27
1,0,39
1,0,66
1,0,62
0,1,26
0,1,65
0,1,67
0,1,45
3,0,36
3,0,68
1,0,69
1,0,1
3,0,35
3,0,48
3,1,70
3,1,45
1,0,59
1,0,39
0,1,5
0,1,30
1,0,18
1,0,17
3,0,51
3,0,65
0,0,56
0,0,71
8,0,26
8,0,65
9,0,34
9,0,38
8,0,27
8,0,39
0,0,38
0,0,39
0,0,66
0,0,62
1,0,4
1,0,21
3,0,49
3,0,41
8,0,48
8,0,25
1,0,56
1,0,71
3,0,4
3,0,72
1,0,48
1,0,50
8,0,52
8,0,50
0,1,73
0,1,74
3,0,6
3,0,75
0,1,76
4,0,18
4,0,2
6,1,41
6,1,39
3,1,36
3,1,77
0,1,14
0,1,70
0,1,31
0,1,32
1,0,18
1,0,2
12,0,61
12,0,38
3,0,48
3,0,50
8,0,61
8,0,62
3,1,53
3,1,16
0,0,63
0,0,19
1,0,16
1,0,78
4,1,69
4,1,69
4,1,57
4,1,58
0,1,79
0,1,72
4,0,44
4,0,45
3,0,41
3,0,39
1,0,65
1,0,39
4,0,63
4,0,78
7,0,21
7,0,72
1,0,53
1,0,16
4,1,80
8,0,55
8,0,56
1,0,52
1,0,50
1,0,81
1,0,62
0,0,35
0,0,36
1,0,82
1,0,52
12,0,61
12,0,36
3,0,55
3,0,56
11,0,36
11,0,77
1,0,61
1,0,36
1,0,13
1,0,34
8,0,55
8,0,56
3,0,48
3,0,50
4,1,5
4,1,6
4,1,44
4,1,17
0,1,9
0,1,47
1,0,67
1,0,45
0,1,69
0,1,58
0,0,82
0,0,52
1,0,61
1,0,41
7,0,82
7,0,83
3,1,70
3,1,73
1,0,26
1,0,84
1,0,36
1,0,77
0,0,85
0,0,25
0,0,67
0,0,45
3,0,3
3,0,21
1,0,18
1,0,17
1,0,26
1,0,65
0,0,83
0,0,29
1,0,15
1,0,62
0,1,57
0,1,58
0,1,59
0,1,86
9,1,30
9,1,19
0,0,21
0,0,85
3,0,87
1,0,88
1,0,33
3,1,89
3,1,81
0,1,38
0,1,62
0,0,90
0,0,25
1,1,29
1,1,72
0,1,34
0,1,54
1,0,51
1,0,91
3,0,72
3,1,89
3,1,81
1,0,88
1,0,64
8,0,89
8,0,81
8,0,2
8,0,17
0,1,72
0,1,25
1,0,38
1,0,39
0,0,16
8,0,90
8,0,85
1,0,30
1,0,19
3,0,92
3,0,83
8,0,82
8,0,52
3,0,23
3,0,24
4,1,44
4,1,17
8,0,34
8,0,75
12,0,65
12,0,62
8,0,35
8,0,48
4,1,57
4,1,64
9,0,51
9,0,52
8,0,30
8,0,19
1,0,30
1,0,19
1,0,38
1,0,39
4,1,88
4,1,60
0,0,7
0,0,4
3,0,4
3,0,20
1,0,48
1,0,25
1,0,55
1,0,56
0,0,36
0,0,68
8,0,46
8,0,2
4,1,30
4,1,19
8,0,88
8,0,64
3,1,22
3,1,24
1,0,55
1,0,56
3,0,3
3,0,23
4,0,88
4,0,93
0,0,21
0,0,85
0,1,75
0,1,66
1,1,28
1,1,83
3,0,4
